year,county_nam,gis_acres,fire_name
2023,Siskiyou,5.729125,WHITWORTH
2023,Butte,13.6023846,KAISER
2023,Amador,27.8144646,JACKSON
2023,Amador,58.7602272,CARBON
2023,Amador,70.9789963,LIBERTY
2023,Sacramento,28.6379089,CLAY
2023,San Benito,13.5931292,PAICINES
2023,Monterey,391.374939,VINEYARD
2023,Monterey,40.4179611,SLACKS
2023,San Benito,296.6445312,IDRIA
2023,Shasta,161.8136902,WONDER
2023,Shasta,11.9180145,PINE
2023,Shasta,20.6700001,OLIVE
2023,Butte,52.1738281,TURKEY
2023,Butte,10.0720148,VIRGINIA
2023,Riverside,8354.7763672,RABBIT
2023,Riverside,104.0206604,HIGHLAND
2023,Riverside,435.68396,RECHE
2023,Riverside,334.5827637,GAVILAN
2023,Riverside,337.9315796,RAMONA
2023,Butte,74.1023102,CEMETERY
2023,Trinity,56.8777199,1-10
2023,Butte,19.2881584,CANA
2023,El Dorado,11.6999998,MISTY
2023,Riverside,2487,HIGHLAND
2023,Amador,11.1000004,PLYMOUTH
2023,Butte,11.1226215,WALL
2023,Kern,83.7126846,HOSTLY
2023,Kern,5.9487286,ADOBE
2023,Kern,3.2677271,LAZY
2023,Kern,225.6406097,BITTER
2023,Kern,14.7427902,LAVENDER
2023,Kern,6.7633452,POND
2023,Kern,9.6872149,ELK
2023,Kern,6.8605866,TOLL
2023,Kern,4.915308,POINT
2023,Kern,83.4755554,PENTLAND
2023,Kern,59.267845199999996,LITTLE
2023,Kern,5.6660528,ELK
2023,Kern,5.7773776,TANK
2023,Kern,6.4191089,FAMOSO
2023,Kern,3.3347123,LAST
2023,Kern,5.9667449,POST
2023,Kern,7.9617214,WATER
2023,Kern,107.8487473,CHAMPAGNE
2023,Kern,17.1569653,TRUCK
2023,Kern,536.0197144,ROUND
2023,Kern,9.0598602,CANYON
2023,Kern,9.6132755,SOUTH 2
2023,Kern,6.1701913,TREE
2023,Kern,3.7237601,BAKER
2023,Kern,4.9904861,MID
2023,Kern,1043.6650391,DISTRICT
2023,Kern,52.757534,BODFISH
2023,Kern,20.6137409,SCODIE
2023,Kern,60.6250992,BEALE
2023,Kern,34.747139,HABERKERN
2023,Kern,4.3875246,COMANCHE
2023,Kern,1291.1656494,EAST
2023,Kern,14.5901423,EDMONSTON
2023,Kern,5228.8710938,ALMOND
2023,Kern,89.4647369,BOULEVARD
2023,Kern,3.8167157,BRITE
2023,Kern,16.050684,GENERAL
2023,Kern,52.5471649,TROTTER
2023,Kern,4.7139068,GROVE
2023,Kern,34.6490326,BLACKWELL
2023,Kern,4.0159955,SEMI
2023,Kern,33.3207664,DEN
2023,Kern,7.908133,ROLLING
2023,Kern,7.3095179,TULE
2023,Kern,55.0253906,CALIENTE
2023,Kern,10.3764696,FLAT
2023,Kern,5.1756058,TOWER
2023,Kern,5.0022383,POSO
2023,Kern,7.9713678,BLUE BARN
2023,Kern,6.4306293,CORNER
2023,Kern,13.7171192,ROCK
2023,Kern,4.4403057,SKY
2023,Kern,3.0306878,LIERLY
2023,Kern,5.2266283,ANNETTE
2023,Kern,6.3157287,CREEK
2023,Kern,8.4963779,SHERWOOD
2023,Kern,8.2028923,CROCKER
2023,Kern,5.4876614,BRONZE
2023,Kern,16.7643471,KERN
2023,Kern,86.2766953,LINE
2023,Kern,15.0413895,FIELD
2023,Kern,3.0004704,FANO
2023,Kern,3.4336216,FANO 2
2023,Kern,7.2589087,FRONT
2023,Kern,13.3283596,HOLLOW
2023,Santa Barbara,5761.5214844,PLANT
2023,Santa Barbara,211.1919708,SUN
2023,Santa Barbara,95.6661301,GRADE
2023,Yuba,94.2770462,SCOTT
2023,Yuba,58.0098381,PEOIRA
2023,Yuba,13.7299995,SICARD
2023,Kern,3.1215601,TULE 2
2023,Kern,2.2649,RANCHO
2023,Kern,169.9730072,PINE
2023,Madera,83,WHISKEY
2023,Monterey,4.5,WILLIAMS
2023,Ventura,1.655345,TRAIL
2023,Ventura,13.0123568,VILLANOVA
2023,Ventura,2715.3999023,SOUTH
2023,Riverside,531.0220947,ROCK
2023,Riverside,2323.1064453,BONNY
2023,Monterey,53.9000015,WILLIAMS
2023,Placer,9.5322714,TANWOODS
2023,Placer,25,FOOTHILLS
2023,Placer,11.6300001,BREWER
2023,Yuba,44,ERIC
2023,Yuba,10.8000002,SPENCEVILLE
2023,Yuba,16.6000004,DOOLITTLE
2023,Calaveras,106,GANN
2023,Mendocino,0.46,HAZEL
2023,Napa,97.1194534,SNELL
2023,Mendocino,0.14,AIRPORT
2023,San Diego,12.1999998,WILDCAT 2
2023,San Diego,466.5,COYOTE
2023,San Diego,3.5,COUSER 2
2023,San Diego,37.4000015,BLACKWOOD
2023,Shasta,2.5799999,RUBY
2023,Shasta,28.9599991,DURA
2023,San Diego,61.0699997,BORDER 14
2023,San Diego,10.5100002,BORDER 30
2023,San Diego,17.9500008,BORDER 13
2023,Stanislaus,11.0216064,GREY
2023,Inyo,54.5471802,MAIN
2023,Humboldt,12.8924599,PECWAN
2023,Tulare,0.0665742,PARK
2023,Tulare,138.2094574,ROBIN
2023,Riverside,37.2804337,JOHNSON
2023,Riverside,14.4353619,ALMOND
2023,Riverside,8.1325989,HOMESTEAD
2023,Riverside,1.601149,BROADWAY
2023,Riverside,127,66
2023,Monterey,1.98,VEGA
2023,Fresno,108.1650009,ORANGE
2023,Fresno,20.1026001,RODEO
2023,Fresno,19.1282005,STRIKE
2023,Fresno,25.7406006,GEORGE
2023,Fresno,23.8873997,CRANE
2023,Fresno,14.3992004,PECK
